Year,Complaints,Food,Prevkill,Pop,Pop_Level,Policy,Pop_1000
1982,938,58.1,1585,9201,under,old,9.201
1983,2024,60.7,504,10608,under,old,10.608
1984,927,51.8,1223,11487,under,old,11.487
1985,2859,42.7,1049,12817,under,old,12.817
1986,2551,67.7,1708,14130,under,old,14.13
1987,2144,61.8,1658,14006,under,old,14.006
1988,443,69.4,1727,14311,under,new,14.311
1989,511,65.4,3198,13263,under,new,13.263
1990,600,66.5,2158,13643,under,new,13.643
1991,584,68.0,2827,12924,under,new,12.924
1992,433,62.5,2726,11617,under,new,11.617
1993,835,50.7,2140,11603,under,new,11.603
1994,692,71.8,2620,11301,under,new,11.301
1995,649,70.2,1891,11290,under,new,11.29
1996,937,50.7,1653,12275,under,new,12.275
1997,898,70.3,2019,12774,under,new,12.774
1998,715,61.3,2694,11922,under,new,11.922
1999,2166,56.0,2062,15883,over,old,15.883
2000,3257,51.6,1643,17301,over,old,17.301
2001,5727,44.1,2068,19428,over,old,19.428
2002,2940,68.4,2671,19186,over,old,19.186
2003,5121,58.2,2260,19817,over,old,19.817
2004,3459,74.3,3390,20290,over,old,20.29
2005,2495,72.3,3120,19409,over,old,19.409
2006,5873,44.4,2399,21810,over,old,21.81
2007,1296,87.6,5245,18890,over,old,18.89
2008,2857,63.9,1905,20055,over,old,20.055
2009,969,71.1,3312,22117,over,new,22.117
2010,1176,62.0,4152,20117,over,new,20.117
2011,723,62.3,3652,20920,over,new,20.92
2012,782,55.8,3925,19542,over,new,19.542
2013,625,66.8,4964,17417,over,new,17.417
2014,505,58.8,1931,18182,over,new,18.182
2015,582,64.4,3617,18051,over,new,18.051
2016,512,62.3,3417,16342,over,new,16.342
2017,483,56.9,3373,15426,over,new,15.426
,,,,,,,
,,,,,,,
,,,,,,,
