Institution_Name,Type_of_Institution,State,In-state_tuition_and_fees_2016-17
University of Alaska Anchorage,Public,AK,5784
Arizona State University-Skysong,Public,AZ,8234
University of Arizona,Public,AZ,11769
Antelope Valley College,Public,CA,1104
Bakersfield College,Public,CA,1326
California State University-Dominguez Hills,Public,CA,6423
San Diego Mesa College,Public,CA,1142
University of California-Irvine,Public,CA,13360
University of California-Merced,Public,CA,13262
University of California-San Diego,Public,CA,13645
University of California-Santa Cruz,Public,CA,13539
West Los Angeles College,Public,CA,1220
Colorado Mountain College,Public,CO,3328
Red Rocks Community College,Public,CO,3685
University of Colorado Colorado Springs,Public,CO,8042
Western State Colorado University,Public,CO,9193
Lewis-Clark State College,Public,ID,6120
Montana State University-Northern,Public,MT,5371
University of Oregon,Public,OR,10761
Central Washington University,Public,WA,7719
Eastern Washington University,Public,WA,6951
Northwest Indian College,Public,WA,4407
Skagit Valley College,Public,WA,4200
University of Washington-Bothell Campus,Public,WA,10690
University of Washington-Seattle Campus,Public,WA,10753
Alaska Pacific University,Private,AK,20310
Argosy University-Phoenix,Private,AZ,13152
Argosy University-Phoenix Online Division,Private,AZ,18244
Prescott College,Private,AZ,28943
Argosy University-Los Angeles,Private,CA,13152
Argosy University-The Art Institute of California-Sacramento,Private,CA,18744
California Institute of Technology,Private,CA,47577
California Jazz Conservatory,Private,CA,17400
California Miramar University,Private,CA,7960
Chapman University,Private,CA,48710
Harvey Mudd College,Private,CA,52666
Life Pacific College,Private,CA,14138
Saint Mary's College of California,Private,CA,44360
San Diego Christian College,Private,CA,29550
Southern California Seminary,Private,CA,14245
Southern California University of Health Sciences,Private,CA,9012
Thomas Aquinas College,Private,CA,24500
University of Phoenix-California,Private,CA,9802
University of San Diego,Private,CA,46140
University of San Francisco,Private,CA,44494
University of the People,Private,CA,1000
World Mission University,Private,CA,5620
Brigham Young University-Idaho,Private,ID,3920
University of Great Falls,Private,MT,23534
Lewis & Clark College,Private,OR,46894
Pacific Northwest College of Art,Private,OR,34500
Argosy University-Salt Lake City,Private,UT,13152
Midwives College of Utah,Private,UT,6349
University of Phoenix-Utah,Private,UT,9840
City University of Seattle,Private,WA,16748
