Driving_Distance,Percent_Accuracy,League
243.2,67,LPGA
254.5,70.1,LPGA
253.1,59.3,LPGA
228.1,70.4,LPGA
240.8,69.5,LPGA
244,69,LPGA
257.9,66.3,LPGA
255.8,68.3,LPGA
249.9,63.5,LPGA
251.3,70.3,LPGA
244.4,66,LPGA
246.6,70.1,LPGA
239.2,68.6,LPGA
236.2,56.9,LPGA
267.7,67.2,LPGA
235.3,75.5,LPGA
249.1,64.2,LPGA
239.4,65.8,LPGA
244.2,65.6,LPGA
259.7,68.5,LPGA
268.5,54.2,LPGA
248.2,68.4,LPGA
247.2,71.8,LPGA
236.8,67.8,LPGA
238.2,65.3,LPGA
229.3,73.1,LPGA
253.1,65.1,LPGA
252,79.8,LPGA
259.4,65.4,LPGA
226.7,72.1,LPGA
254.6,66.9,LPGA
249,74,LPGA
244.8,69.9,LPGA
246.3,70.2,LPGA
248.2,60.4,LPGA
237.4,73.6,LPGA
245.4,69.3,LPGA
245.2,73.5,LPGA
243.8,75.5,LPGA
251.2,64.5,LPGA
255.9,71.7,LPGA
235.3,69.5,LPGA
258.1,58.3,LPGA
242.5,69.4,LPGA
244.3,71,LPGA
251,67.5,LPGA
263.6,68.3,LPGA
246.3,69.3,LPGA
254.3,62.4,LPGA
242.6,64.7,LPGA
246.9,67.7,LPGA
243.3,68.4,LPGA
243.5,70.2,LPGA
236.6,73.8,LPGA
239.4,75.8,LPGA
249.3,70.4,LPGA
253.6,64.3,LPGA
268,60.9,LPGA
246.1,74.9,LPGA
246.1,72.8,LPGA
253.9,71.3,LPGA
248.8,60.5,LPGA
246.7,68.6,LPGA
246.5,71.2,LPGA
250.2,66.6,LPGA
248.4,59.4,LPGA
252,63.1,LPGA
238.7,70.7,LPGA
261.5,68.4,LPGA
261.1,61,LPGA
232.1,66.7,LPGA
257.2,60.8,LPGA
243,57.9,LPGA
242.7,64.9,LPGA
249.7,70.9,LPGA
247,59.9,LPGA
233.7,77.7,LPGA
243.7,62.6,LPGA
244,73.5,LPGA
244,62.4,LPGA
252.8,50.3,LPGA
250.2,66,LPGA
237.8,74.6,LPGA
224.8,72.6,LPGA
253.7,55.6,LPGA
242.6,73.9,LPGA
261.5,62.7,LPGA
253.4,58.4,LPGA
242.3,62.6,LPGA
269.5,66,LPGA
248.1,65.3,LPGA
244.9,72.4,LPGA
240.9,73.1,LPGA
266.2,59.9,LPGA
254.2,64.8,LPGA
241.9,76.8,LPGA
237.4,79.8,LPGA
240.4,78.5,LPGA
238.1,71.7,LPGA
246.9,52.2,LPGA
237.8,73,LPGA
243.6,71.9,LPGA
242.1,73.3,LPGA
255.7,53.9,LPGA
249.5,65.8,LPGA
253.2,62.6,LPGA
247.9,68.8,LPGA
244.9,73.5,LPGA
256.9,62.1,LPGA
229.9,77,LPGA
248.1,63.1,LPGA
257.9,68.1,LPGA
232.7,71.2,LPGA
240.7,66.9,LPGA
245.7,71.5,LPGA
243,59.2,LPGA
257.9,65.6,LPGA
258.4,65.4,LPGA
239.9,61.9,LPGA
246.8,73.4,LPGA
250.8,70.2,LPGA
251.8,66.6,LPGA
238.6,68.6,LPGA
255.7,66.5,LPGA
242.4,70.4,LPGA
241.1,65.4,LPGA
251.4,61.3,LPGA
254.6,61.9,LPGA
232.8,75.6,LPGA
243,70,LPGA
261.2,67,LPGA
237.8,71.4,LPGA
255.3,70.8,LPGA
249.4,64.7,LPGA
239.6,62.7,LPGA
240.7,69.2,LPGA
247.6,70.3,LPGA
240.8,71.5,LPGA
243,78.8,LPGA
268.8,59.3,LPGA
250.2,65.7,LPGA
237.7,72,LPGA
254.8,67.6,LPGA
235.2,78.4,LPGA
265.8,66.9,LPGA
241,70.2,LPGA
256.4,66.4,LPGA
240.9,66.5,LPGA
225.1,78.2,LPGA
225.8,49.3,LPGA
231.1,70.4,LPGA
262.5,63.9,LPGA
250.4,68.4,LPGA
266.4,63,LPGA
242.6,70,LPGA
245.3,66.2,LPGA
230.6,78.8,LPGA
290.3,59.5,PGA
302.1,54.7,PGA
287.1,62.4,PGA
282.7,65.4,PGA
299.1,52.8,PGA
300.2,51.1,PGA
300.9,58.3,PGA
279.5,73.9,PGA
287.8,67.6,PGA
284.7,67.2,PGA
296.7,60,PGA
283.3,59.4,PGA
284,72.2,PGA
292,62.1,PGA
282.6,66.5,PGA
287.9,60.9,PGA
279.2,67.3,PGA
291.7,64.8,PGA
289.9,58.1,PGA
289.9,61.7,PGA
298.8,56.4,PGA
280.8,60.5,PGA
294.9,57.5,PGA
287.5,61.8,PGA
282.7,56,PGA
277.7,72.5,PGA
270.5,71.7,PGA
285.2,66,PGA
315.1,55.2,PGA
281.9,67.6,PGA
293.3,58.2,PGA
286,59.9,PGA
285.6,58.2,PGA
289.9,65.7,PGA
277.5,59,PGA
293.6,56.8,PGA
301.1,65.4,PGA
300.8,63.4,PGA
287.4,67.3,PGA
281.8,72.6,PGA
277.4,63.1,PGA
279.1,66.5,PGA
287.4,66.4,PGA
280.9,62.3,PGA
287.8,57.2,PGA
261.4,69.2,PGA
272.6,69.4,PGA
291.3,65.3,PGA
294.2,52.8,PGA
285.5,49,PGA
287.9,61.1,PGA
282.2,65.6,PGA
301.3,58.2,PGA
276.2,61.7,PGA
281.6,68.1,PGA
275.5,61.2,PGA
309.7,53.1,PGA
287.7,56.4,PGA
291.6,56.9,PGA
284.1,65,PGA
299.6,57.5,PGA
282.7,60,PGA
271.5,72,PGA
292.1,58.2,PGA
295,59.4,PGA
247.9,69,PGA
273.6,68.7,PGA
299.9,60.1,PGA
279.9,74,PGA
289.9,66,PGA
283.6,59.8,PGA
310.3,52.4,PGA
291.7,65.6,PGA
284.2,63.2,PGA
295,53.5,PGA
298.6,55.1,PGA
297.4,60.4,PGA
299.7,67.7,PGA
284.4,69.7,PGA
286.4,72.4,PGA
285.9,66.9,PGA
297.6,54.3,PGA
272.5,62,PGA
277,66.2,PGA
287.6,60.9,PGA
280.4,69.4,PGA
280,63.7,PGA
295.4,52.8,PGA
274.4,68.8,PGA
286.5,73.1,PGA
287.7,65.2,PGA
291.5,65.9,PGA
279,69.4,PGA
299,65.2,PGA
290.1,69.1,PGA
288.9,67.9,PGA
288.8,68.2,PGA
283.2,61,PGA
293.2,58.4,PGA
285.3,67.3,PGA
284.1,65.7,PGA
281.4,67.7,PGA
286.1,61.4,PGA
284.9,62.3,PGA
284.8,68.1,PGA
296,62,PGA
282.9,71.8,PGA
280.9,67.8,PGA
291.2,62,PGA
292.8,62.2,PGA
291,61.9,PGA
283.9,62.4,PGA
283.9,62.9,PGA
298.4,61.5,PGA
285.1,65.3,PGA
286.1,60.1,PGA
283.1,65.4,PGA
289.4,58.3,PGA
284.6,70.7,PGA
296.6,62.3,PGA
295.9,64.9,PGA
295.2,62.8,PGA
293.9,54.5,PGA
275,65.5,PGA
286.8,69.5,PGA
291.1,64.4,PGA
284.8,62.5,PGA
283.7,59.5,PGA
295.4,66.9,PGA
291.8,62.7,PGA
274.9,72.3,PGA
302.9,61.2,PGA
272.1,80.4,PGA
274.9,74.9,PGA
296.3,59.4,PGA
286.2,58.8,PGA
294.2,63.3,PGA
284.1,66.5,PGA
299.2,62.4,PGA
275.4,71,PGA
273.2,70.9,PGA
281.6,65.9,PGA
295.7,55.3,PGA
287.1,56.8,PGA
287.7,66.9,PGA
296.7,53.7,PGA
282.2,64.2,PGA
291.7,65.6,PGA
281.6,73.4,PGA
311,56.2,PGA
278.6,64.7,PGA
288,65.7,PGA
276.7,72.1,PGA
292,62,PGA
286.4,69.9,PGA
292.7,65.7,PGA
294.2,62.9,PGA
278.6,59.6,PGA
283.1,66.2,PGA
284.1,66,PGA
278.6,73.6,PGA
291.1,60.4,PGA
294.6,59.4,PGA
274.3,70.5,PGA
274.3,57.1,PGA
283.8,62.7,PGA
272.7,66.9,PGA
303.2,58.3,PGA
282,70.4,PGA
281.9,61,PGA
287,59.9,PGA
293.5,63.8,PGA
283.6,56.3,PGA
296.9,55.3,PGA
290.9,58.2,PGA
303,58.1,PGA
292.8,61.1,PGA
281.1,65,PGA
293,61.1,PGA
284,66.5,PGA
279.8,66.7,PGA
292.9,65.4,PGA
284,66.9,PGA
282,64.5,PGA
280.6,64,PGA
287.7,63.4,PGA
287.7,63.4,PGA
298.3,59.5,PGA
299.6,53.4,PGA
291.3,62.5,PGA
295.2,61.4,PGA
288,62.4,PGA
297.8,59.5,PGA
286,62.6,PGA
285.3,66.2,PGA
286.9,63.4,PGA
275.1,73.7,PGA
